"user_id","level","paused","chrome_notifs","language","last_question_time","week_freak","daily_streak","daily_progress","daily_goal","density","highlightStyle","bonus_points","generated_questions","answered_questions","blocked_sites","levels_attempted"
"cc0e3d6f-3b20-40c2-a3fe-2dc59cf58c50",2,NA,TRUE,"Mandarin Chinese",2024-08-20 18:24:12.982,"[0,0,0,0,0,0,0]",0,0,10,30,"underline",NA,4,0,0,1
"cce3cdfa-906e-4563-a302-e7a11731d0e2",2,NA,TRUE,"Tamil",2024-09-24 06:12:18.581,"[0,0,0,0,0,0,0]",0,0,100,30,"underline",NA,3,0,0,1
"cd7531b5-929e-4a66-9f3f-0f85caa0b929",2,NA,TRUE,"Spanish",2024-08-05 05:56:59.22,"[0,0,0,0,0,0,0]",0,0,20,90,"underline",NA,2,0,0,1
"cd9378b2-66c7-4d80-a08e-40ea7ab37a92",1,NA,TRUE,"Italian",2024-12-04 11:58:57.485,"[0,0,0,0,0,0,0]",0,0,10,30,"underline",NA,41,0,0,1
"cfb5b889-a5ca-4613-b8fe-2f1ab519f6f4",1,NA,TRUE,"Russian",2024-09-05 14:16:46.411,"[0,0,0,0,0,0,0]",0,0,10,30,"underline",NA,10,0,2,2
"daadadf1-b842-4a09-9352-5cf4c459c54e",3,NA,TRUE,"Tamil",2024-09-24 05:34:35.502,"[0,0,0,0,0,0,0]",0,0,10,50,"underline",NA,3,0,0,1
"db75c9b3-c50e-40d5-b706-5bd3bcee2527",3,NA,TRUE,"Mandarin Chinese",2025-01-25 15:40:57.397,"[0,0,0,0,0,0,0]",0,0,100,10,"underline",NA,6,1,0,1
"dd8e019c-4f68-4f58-a2b8-d3eca2cde2b7",1,NA,TRUE,"Spanish",2024-09-09 18:21:43.749,"[0,0,0,0,0,0,0]",0,0,100,30,"underline",NA,9,0,0,1
"dfd280a3-4e3a-43ad-a533-0a714885d572",3,NA,TRUE,"Tamil",2024-08-02 20:32:14.392,"[0,0,0,0,0,0,0]",0,0,40,10,"underline",NA,5,0,0,3
"e3256652-546e-44a4-9966-5e9732699183",3,NA,TRUE,"GRE Vocabulary",2025-03-16 21:35:25.005,"[0,0,0,0,0,0,0]",0,0,100,100,"highlight",5,147,117,1,2
"e42db482-b3fb-4d49-82ac-448f63744dd5",1,NA,TRUE,"German",2024-11-07 19:56:23.454,"[0,0,0,0,0,0,0]",0,0,10,100,"underline",NA,25,0,0,1
"ee7ff0c6-5aba-46a5-88fb-4243a7032d00",3,NA,TRUE,"SAT Vocabulary",NA,"[0,0,0,0,0,0,0]",0,0,50,30,"underline",NA,0,0,0,1
"f11139a8-fe1d-4823-b3f1-249a0c17ed67",6,NA,TRUE,"Russian",2025-02-05 13:05:49.231,"[0,0,0,0,0,0,0]",0,0,20,10,"underline",NA,11,7,0,1
"f1f4bd58-a3d2-45da-8179-474f2368456b",1,NA,TRUE,"Spanish",2024-09-11 06:59:59.861,"[0,0,0,0,0,0,0]",0,0,20,30,"underline",NA,2,0,0,1
"f4095df7-febf-489b-be22-3cf02d090547",2,NA,TRUE,"Portuguese",2025-03-12 02:23:50.397,"[0,0,0,0,0,0,0]",0,0,10,30,"underline",NA,14,0,0,1
"f9034378-44b5-4ab5-babd-dfe40c4ca89b",1,NA,TRUE,"German",2024-06-30 01:44:11.798,"[0,0,0,0,0,0,0]",0,0,10,30,"underline",NA,7,0,0,1
"fa40be07-8840-48f0-bfa4-66a6a0230e09",1,NA,TRUE,"Sinhala",2024-06-23 00:10:50.198,"[0,0,0,0,0,0,0]",0,0,40,30,"underline",NA,2,0,0,1
"ff8b22f3-fa07-41cf-9d68-79caf67442d9",1,NA,TRUE,"Tiktok Slang",2024-11-18 05:53:55.642,"[0,0,0,0,0,0,0]",0,0,10,100,"underline",NA,229,0,4,2
