user_id,level,paused,chrome_notifs,language,last_question_time,week_freak,daily_streak,daily_progress,daily_goal,density,highlightStyle,bonus_points
cd7531b5-929e-4a66-9f3f-0f85caa0b929,2,,TRUE,Spanish,2024-08-05 05:56:59.22+00,"[0,0,0,0,0,0,0]",0,0,20,90,underline,
cd9378b2-66c7-4d80-a08e-40ea7ab37a92,1,,TRUE,Italian,2024-12-04 11:58:57.485+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
cfb5b889-a5ca-4613-b8fe-2f1ab519f6f4,1,,TRUE,Russian,2024-09-05 14:16:46.411+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
daadadf1-b842-4a09-9352-5cf4c459c54e,3,,TRUE,Tamil,2024-09-24 05:34:35.502+00,"[0,0,0,0,0,0,0]",0,0,10,50,underline,
db75c9b3-c50e-40d5-b706-5bd3bcee2527,3,,TRUE,Mandarin Chinese,2025-01-25 15:40:57.397+00,"[0,0,0,0,0,0,0]",0,0,100,10,underline,
dd8e019c-4f68-4f58-a2b8-d3eca2cde2b7,1,,TRUE,Spanish,2024-09-09 18:21:43.749+00,"[0,0,0,0,0,0,0]",0,0,100,30,underline,
dfd280a3-4e3a-43ad-a533-0a714885d572,3,,TRUE,Tamil,2024-08-02 20:32:14.392+00,"[0,0,0,0,0,0,0]",0,0,40,10,underline,
e3256652-546e-44a4-9966-5e9732699183,3,,TRUE,GRE Vocabulary,2025-03-16 21:35:25.005+00,"[0,0,0,0,0,0,0]",0,0,100,100,highlight,5
e42db482-b3fb-4d49-82ac-448f63744dd5,1,,TRUE,German,2024-11-07 19:56:23.454+00,"[0,0,0,0,0,0,0]",0,0,10,100,underline,
ee7ff0c6-5aba-46a5-88fb-4243a7032d00,3,,TRUE,SAT Vocabulary,,"[0,0,0,0,0,0,0]",0,0,50,30,underline,
f11139a8-fe1d-4823-b3f1-249a0c17ed67,6,,TRUE,Russian,2025-02-05 13:05:49.231+00,"[0,0,0,0,0,0,0]",0,0,20,10,underline,
f1f4bd58-a3d2-45da-8179-474f2368456b,1,,TRUE,Spanish,2024-09-11 06:59:59.861+00,"[0,0,0,0,0,0,0]",0,0,20,30,underline,
f4095df7-febf-489b-be22-3cf02d090547,2,,TRUE,Portuguese,2025-03-12 02:23:50.397+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
f9034378-44b5-4ab5-babd-dfe40c4ca89b,1,,TRUE,German,2024-06-30 01:44:11.798+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
fa40be07-8840-48f0-bfa4-66a6a0230e09,1,,TRUE,Sinhala,2024-06-23 00:10:50.198+00,"[0,0,0,0,0,0,0]",0,0,40,30,underline,
ff8b22f3-fa07-41cf-9d68-79caf67442d9,1,,TRUE,Tiktok Slang,2024-11-18 05:53:55.642+00,"[0,0,0,0,0,0,0]",0,0,10,100,underline,
